"Name","Accession","Chromosome","Start","End","Strand","Confidence"
"mmu-mir-122","MI0000256","chr18","65248861","65248926","+","High"
"mmu-mir-122b","MI0040634","chr18","65248863","65248921","-","-"
"mmu-miR-122-5p","MIMAT0000246","","","","",""
"mmu-miR-122-3p","MIMAT0017005","","","","",""
"mmu-miR-122b-5p","MIMAT0049852","","","","",""
"mmu-miR-122b-3p","MIMAT0049853","","","","",""
"mmu-mir-123","MI0000149","","","","","-"
"mmu-mir-124-3","MI0000150","chr2","180894040","180894107","+","High"
"mmu-mir-124-1","MI0000716","chr14","64590657","64590741","+","High"
"mmu-mir-124-2","MI0000717","chr3","17795662","17795770","+","High"
"mmu-mir-124b","MI0040637","chr3","17795685","17795741","-","-"
"mmu-miR-124-3p","MIMAT0000134","","","","",""
"mmu-miR-124-5p","MIMAT0004527","","","","",""
"mmu-miR-124b-3p","MIMAT0049857","","","","",""
"mmu-mir-125a","MI0000151","chr17","17830812","17830879","+","High"
"mmu-mir-125b-2","MI0000152","chr16","77646273","77646343","+","High"
"mmu-mir-125b-1","MI0000725","chr9","41581926","41582002","+","High"
"mmu-miR-125a-5p","MIMAT0000135","","","","",""
"mmu-miR-125b-5p","MIMAT0000136","","","","",""
"mmu-miR-125a-3p","MIMAT0004528","","","","",""
"mmu-miR-125b-2-3p","MIMAT0004529","","","","",""
"mmu-miR-125b-1-3p","MIMAT0004669","","","","",""
"mmu-mir-126a","MI0000153","chr2","26591357","26591429","+","High"
"mmu-mir-126b","MI0025035","chr2","26591363","26591420","-","-"
"mmu-miR-126a-5p","MIMAT0000137","","","","",""
"mmu-miR-126a-3p","MIMAT0000138","","","","",""
"mmu-miR-126b-5p","MIMAT0029894","","","","",""
"mmu-miR-126b-3p","MIMAT0029895","","","","",""
"mmu-mir-127","MI0000154","chr12","109592846","109592915","+","High"
"mmu-miR-127-3p","MIMAT0000139","","","","",""
"mmu-miR-127-5p","MIMAT0004530","","","","",""
"mmu-mir-128-1","MI0000155","chr1","128202361","128202430","+","High"
"mmu-mir-128-2","MI0000726","chr9","112118636","112118711","-","High"
"mmu-miR-128-3p","MIMAT0000140","","","","",""
"mmu-miR-128-1-5p","MIMAT0016982","","","","",""
"mmu-miR-128-2-5p","MIMAT0017069","","","","",""
"mmu-mir-129-1","MI0000222","chr6","29022619","29022691","+","High"
"mmu-mir-129-2","MI0000585","chr2","94241364","94241453","-","High"
"mmu-mir-129b","MI0025019","chr2","94241378","94241442","+","-"
"mmu-miR-129-5p","MIMAT0000209","","","","",""
"mmu-miR-129-2-3p","MIMAT0000544","","","","",""
"mmu-miR-129-1-3p","MIMAT0016994","","","","",""
"mmu-miR-129b-5p","MIMAT0029862","","","","",""
"mmu-miR-129b-3p","MIMAT0029863","","","","",""
"mmu-mir-130a","MI0000156","chr2","84741115","84741178","-","High"
"mmu-mir-130b","MI0000408","chr16","17124061","17124142","-","High"
"mmu-mir-130c","MI0021917","chr9","53400805","53400886","-","-"
"mmu-miR-130a-3p","MIMAT0000141","","","","",""
"mmu-miR-130b-3p","MIMAT0000387","","","","",""
"mmu-miR-130b-5p","MIMAT0004583","","","","",""
"mmu-miR-130a-5p","MIMAT0016983","","","","",""
"mmu-miR-130c","MIMAT0025132","","","","",""
"mmu-mir-132","MI0000158","chr11","75173682","75173747","+","High"
"mmu-miR-132-3p","MIMAT0000144","","","","",""
"mmu-miR-132-5p","MIMAT0016984","","","","",""
"mmu-mir-133a-1","MI0000159","chr18","10782909","10782976","-","High"
"mmu-mir-133a-2","MI0000820","chr2","180398379","180398482","+","High"
"mmu-mir-133b","MI0000821","chr1","20682769","20682887","+","High"
"mmu-mir-133c","MI0021863","chr2","29475215","29475294","-","-"
"mmu-miR-133a-3p","MIMAT0000145","","","","",""
"mmu-miR-133b-3p","MIMAT0000769","","","","",""
"mmu-miR-133a-5p","MIMAT0003473","","","","",""
"mmu-miR-133b-5p","MIMAT0017083","","","","",""
"mmu-miR-133c","MIMAT0025078","","","","",""
"mmu-mir-134","MI0000160","chr12","109734139","109734209","+","High"
"mmu-miR-134-5p","MIMAT0000146","","","","",""
"mmu-miR-134-3p","MIMAT0016985","","","","",""
"mmu-mir-135a-1","MI0000161","chr9","106154124","106154213","+","High"
"mmu-mir-135b","MI0000646","chr1","132198088","132198184","+","High"
"mmu-mir-135a-2","MI0000715","chr10","92072086","92072185","-","High"
"mmu-miR-135a-5p","MIMAT0000147","","","","",""
"mmu-miR-135b-5p","MIMAT0000612","","","","",""
"mmu-miR-135a-1-3p","MIMAT0004531","","","","",""
"mmu-miR-135b-3p","MIMAT0017044","","","","",""
"mmu-miR-135a-2-3p","MIMAT0017064","","","","",""
"mmu-mir-136","MI0000162","chr12","109595327","109595388","+","High"
"mmu-miR-136-5p","MIMAT0000148","","","","",""
"mmu-miR-136-3p","MIMAT0004532","","","","",""
"mmu-mir-137","MI0000163","chr3","118433857","118433929","+","High"
"mmu-miR-137-3p","MIMAT0000149","","","","",""
"mmu-miR-137-5p","MIMAT0016986","","","","",""
"mmu-mir-138-2","MI0000164","chr8","94324311","94324381","+","-"
"mmu-mir-138-1","MI0000722","chr9","122682876","122682974","+","High"
"mmu-miR-138-5p","MIMAT0000150","","","","",""
"mmu-miR-138-1-3p","MIMAT0004668","","","","",""
"mmu-miR-138-2-3p","MIMAT0016987","","","","",""
"mmu-mir-139","MI0000693","chr7","101475376","101475443","+","High"
"mmu-miR-139-5p","MIMAT0000656","","","","",""
"mmu-miR-139-3p","MIMAT0004662","","","","",""
"mmu-mir-140","MI0000165","chr8","107551244","107551313","+","High"
"mmu-miR-140-5p","MIMAT0000151","","","","",""
"mmu-miR-140-3p","MIMAT0000152","","","","",""
"mmu-mir-141","MI0000166","chr6","124717914","124717985","-","-"
"mmu-miR-141-3p","MIMAT0000153","","","","",""
"mmu-miR-141-5p","MIMAT0004533","","","","",""
"mmu-mir-142a","MI0000167","chr11","87756864","87756927","+","-"
"mmu-mir-142b","MI0026028","chr11","87756841","87756955","-","-"
"mmu-miR-142a-5p","MIMAT0000154","","","","",""
"mmu-miR-142a-3p","MIMAT0000155","","","","",""
"mmu-miR-142b","MIMAT0031402","","","","",""
"mmu-mir-143","MI0000257","chr18","61649196","61649258","-","High"
"mmu-miR-143-3p","MIMAT0000247","","","","",""
"mmu-miR-143-5p","MIMAT0017006","","","","",""
"mmu-mir-144","MI0000168","chr11","78073005","78073070","+","High"
"mmu-miR-144-3p","MIMAT0000156","","","","",""
"mmu-miR-144-5p","MIMAT0016988","","","","",""
"mmu-mir-145a","MI0000169","chr18","61647825","61647894","-","High"
"mmu-mir-145b","MI0021890","chr18","69022199","69022273","-","-"
"mmu-miR-145a-5p","MIMAT0000157","","","","",""
"mmu-miR-145a-3p","MIMAT0004534","","","","",""
"mmu-miR-145b","MIMAT0025105","","","","",""
"mmu-mir-146a","MI0000170","chr11","43374397","43374461","-","High"
"mmu-mir-146b","MI0004665","chr19","46342762","46342870","+","High"
"mmu-miR-146a-5p","MIMAT0000158","","","","",""
"mmu-miR-146b-5p","MIMAT0003475","","","","",""
"mmu-miR-146b-3p","MIMAT0004826","","","","",""
"mmu-miR-146a-3p","MIMAT0016989","","","","",""
"mmu-mir-147","MI0005482","chr2","122640803","122640881","+","High"
"mmu-miR-147-3p","MIMAT0004857","","","","",""
"mmu-miR-147-5p","MIMAT0017269","","","","",""
"mmu-mir-148a","MI0000550","chr6","51269812","51269910","-","High"
"mmu-mir-148b","MI0000617","chr15","103285125","103285221","+","High"
"mmu-miR-148a-3p","MIMAT0000516","","","","",""
"mmu-miR-148b-3p","MIMAT0000580","","","","",""
"mmu-miR-148a-5p","MIMAT0004617","","","","",""
"mmu-miR-148b-5p","MIMAT0017036","","","","",""
"mmu-mir-149","MI0000171","chr1","92850378","92850443","+","High"
"mmu-miR-149-5p","MIMAT0000159","","","","",""
"mmu-miR-149-3p","MIMAT0016990","","","","",""
"mmu-mir-150","MI0000172","chr7","45121757","45121821","+","High"
"mmu-miR-150-5p","MIMAT0000160","","","","",""
"mmu-miR-150-3p","MIMAT0004535","","","","",""
"mmu-mir-151","MI0000173","chr15","73254815","73254882","-","High"
"mmu-miR-151-3p","MIMAT0000161","","","","",""
"mmu-miR-151-5p","MIMAT0004536","","","","",""
"mmu-mir-152","MI0000174","chr11","96850393","96850465","+","High"
"mmu-miR-152-3p","MIMAT0000162","","","","",""
"mmu-miR-152-5p","MIMAT0016991","","","","",""
"mmu-mir-153","MI0000175","chr12","117250817","117250885","+","-"
"mmu-miR-153-3p","MIMAT0000163","","","","",""
"mmu-miR-153-5p","MIMAT0016992","","","","",""
"mmu-mir-154","MI0000176","chr12","109738433","109738498","+","High"
"mmu-miR-154-5p","MIMAT0000164","","","","",""
"mmu-miR-154-3p","MIMAT0004537","","","","",""
"mmu-mir-155","MI0000177","chr16","84714140","84714204","+","High"
"mmu-miR-155-5p","MIMAT0000165","","","","",""
"mmu-miR-155-3p","MIMAT0016993","","","","",""
"mmu-mir-181a-2","MI0000223","chr2","38852735","38852810","+","High"
"mmu-mir-181a-1","MI0000697","chr1","137966455","137966541","+","High"
"mmu-mir-181b-1","MI0000723","chr1","137966639","137966718","+","High"
"mmu-mir-181c","MI0000724","chr8","84178873","84178961","-","High"
"mmu-mir-181b-2","MI0000823","chr2","38853830","38853918","+","High"
"mmu-mir-181d","MI0005450","chr8","84178716","84178787","-","High"
"mmu-miR-181a-5p","MIMAT0000210","","","","",""
"mmu-miR-181a-1-3p","MIMAT0000660","","","","",""
"mmu-miR-181b-5p","MIMAT0000673","","","","",""
"mmu-miR-181c-5p","MIMAT0000674","","","","",""
"mmu-miR-181d-5p","MIMAT0004324","","","","",""
"mmu-miR-181a-2-3p","MIMAT0005443","","","","",""
"mmu-miR-181b-1-3p","MIMAT0017067","","","","",""
"mmu-miR-181c-3p","MIMAT0017068","","","","",""
"mmu-miR-181b-2-3p","MIMAT0017084","","","","",""
"mmu-miR-181d-3p","MIMAT0017264","","","","",""
"mmu-mir-182","MI0000224","chr6","30165918","30165992","-","High"
"mmu-miR-182-5p","MIMAT0000211","","","","",""
"mmu-miR-182-3p","MIMAT0016995","","","","",""
"mmu-mir-183","MI0000225","chr6","30169668","30169737","-","High"
"mmu-miR-183-5p","MIMAT0000212","","","","",""
"mmu-miR-183-3p","MIMAT0004539","","","","",""
"mmu-mir-184","MI0000226","chr9","89802260","89802328","-","-"
"mmu-miR-184-3p","MIMAT0000213","","","","",""
"mmu-miR-184-5p","MIMAT0022690","","","","",""
"mmu-mir-185","MI0000227","chr16","18327401","18327465","-","High"
"mmu-miR-185-5p","MIMAT0000214","","","","",""
"mmu-miR-185-3p","MIMAT0016996","","","","",""
"mmu-mir-186","MI0000228","chr3","157544279","157544349","+","High"
"mmu-miR-186-5p","MIMAT0000215","","","","",""
"mmu-miR-186-3p","MIMAT0004540","","","","",""
"mmu-mir-187","MI0000229","chr18","24429110","24429170","-","High"
"mmu-miR-187-3p","MIMAT0000216","","","","",""
"mmu-miR-187-5p","MIMAT0016997","","","","",""
"mmu-mir-188","MI0000230","chrX","7247989","7248056","-","High"
"mmu-miR-188-5p","MIMAT0000217","","","","",""
"mmu-miR-188-3p","MIMAT0004541","","","","",""
"mmu-mir-190a","MI0000232","chr9","67236660","67236726","-","High"
"mmu-mir-190b","MI0005478","chr3","90070020","90070099","+","High"
"mmu-miR-190a-5p","MIMAT0000220","","","","",""
"mmu-miR-190b-5p","MIMAT0004852","","","","",""
"mmu-miR-190a-3p","MIMAT0016998","","","","",""
"mmu-miR-190b-3p","MIMAT0017267","","","","",""
"mmu-mir-191","MI0000233","chr9","108568319","108568392","+","High"
"mmu-miR-191-5p","MIMAT0000221","","","","",""
"mmu-miR-191-3p","MIMAT0004542","","","","",""
"mmu-mir-192","MI0000551","chr19","6264844","6264932","+","High"
"mmu-miR-192-5p","MIMAT0000517","","","","",""
"mmu-miR-192-3p","MIMAT0017012","","","","",""
"mmu-mir-193a","MI0000235","chr11","79711969","79712034","+","High"
"mmu-mir-193b","MI0005484","chr16","13449523","13449601","+","High"
"mmu-miR-193a-3p","MIMAT0000223","","","","",""
"mmu-miR-193a-5p","MIMAT0004544","","","","",""
"mmu-miR-193b-3p","MIMAT0004859","","","","",""
"mmu-miR-193b-5p","MIMAT0017271","","","","",""
"mmu-mir-194-1","MI0000236","chr1","185313319","185313385","+","High"
"mmu-mir-194-2","MI0000733","chr19","6264643","6264728","+","High"
"mmu-miR-194-5p","MIMAT0000224","","","","",""
"mmu-miR-194-1-3p","MIMAT0016999","","","","",""
"mmu-miR-194-2-3p","MIMAT0017073","","","","",""
"mmu-mir-195a","MI0000237","chr11","70235042","70235135","+","High"
"mmu-mir-195b","MI0021861","chr2","56785811","56785907","+","-"
"mmu-miR-195a-5p","MIMAT0000225","","","","",""
"mmu-miR-195a-3p","MIMAT0017000","","","","",""
"mmu-miR-195b","MIMAT0025076","","","","",""
"mmu-mir-196a-1","MI0000552","chr11","96265164","96265265","+","High"
"mmu-mir-196a-2","MI0000553","chr15","102973350","102973434","+","High"
"mmu-mir-196b","MI0001151","chr6","52230081","52230165","-","High"
"mmu-miR-196a-5p","MIMAT0000518","","","","",""
"mmu-miR-196b-5p","MIMAT0001081","","","","",""
"mmu-miR-196a-2-3p","MIMAT0004618","","","","",""
"mmu-miR-196a-1-3p","MIMAT0017013","","","","",""
"mmu-miR-196b-3p","MIMAT0017170","","","","",""
"mmu-mir-197","MI0005485","","","","","-"
"mmu-mir-199a-1","MI0000241","chr9","21496495","21496564","-","High"
"mmu-mir-199a-2","MI0000713","chr1","162217814","162217923","+","High"
"mmu-mir-199b","MI0000714","chr2","32318460","32318569","+","High"
"mmu-miR-199a-5p","MIMAT0000229","","","","",""
"mmu-miR-199a-3p","MIMAT0000230","","","","",""
"mmu-miR-199b-5p","MIMAT0000672","","","","",""
"mmu-miR-199b-3p","MIMAT0004667","","","","",""
"mmu-mir-200b","MI0000243","chr4","156055681","156055750","-","High"
"mmu-mir-200a","MI0000554","chr4","156054896","156054985","-","High"
"mmu-mir-200c","MI0000694","chr6","124718322","124718390","-","High"
"mmu-miR-200b-3p","MIMAT0000233","","","","",""
"mmu-miR-200a-3p","MIMAT0000519","","","","",""
"mmu-miR-200c-3p","MIMAT0000657","","","","",""
"mmu-miR-200b-5p","MIMAT0004545","","","","",""
"mmu-miR-200a-5p","MIMAT0004619","","","","",""
"mmu-miR-200c-5p","MIMAT0004663","","","","",""
"mmu-mir-201","MI0000244","chrX","67988096","67988161","-","High"
"mmu-miR-201-5p","MIMAT0000234","","","","",""
"mmu-miR-201-3p","MIMAT0017001","","","","",""
"mmu-mir-202","MI0000245","chr7","139957689","139957760","-","High"
