miRNA name	pos:mut	second_trim_rCMC_cont_IP	second_trim_rCMC_PE_IP	second_trim_rCMC_cont_IP (PM+1MM+2MM)	second_trim_rCMC_PE_IP (PM+1MM+2MM)
mmu-let-7a-5p	13:TG	6.0	16.0	612894.0	1301194.0
mmu-let-7a-5p	14:TA	46.0	87.0	612894.0	1301194.0
mmu-let-7a-5p	14:TC	72.0	127.0	612894.0	1301194.0
mmu-let-7a-5p	14:TG	11.0	22.0	612894.0	1301194.0
mmu-let-7a-5p	15:GA	61.0	142.0	612894.0	1301194.0
mmu-let-7a-5p	15:GC	49.0	85.0	612894.0	1301194.0
mmu-let-7a-5p	15:GT	60.0	126.0	612894.0	1301194.0
mmu-let-7a-5p	16:TA	65.0	133.0	612894.0	1301194.0
mmu-let-7a-5p	16:TG	4.0	11.0	612894.0	1301194.0
mmu-let-7a-5p	17:AC	0.0	6.0	612894.0	1301194.0
mmu-let-7a-5p	17:AT	70.0	135.0	612894.0	1301194.0
mmu-let-7a-5p	18:TA	46.0	124.0	612894.0	1301194.0
mmu-let-7a-5p	18:TG	2.0	5.0	612894.0	1301194.0
mmu-let-7a-5p	20:GA	23.0	45.0	612894.0	1301194.0
mmu-let-7a-5p	20:GC	13.0	36.0	612894.0	1301194.0
mmu-let-7a-5p	20:GT	82.0	176.0	612894.0	1301194.0
mmu-let-7a-5p	21:TA	48.0	100.0	612894.0	1301194.0
mmu-let-7a-5p	21:TC	38.0	90.0	612894.0	1301194.0
mmu-let-7a-5p	21:TG	37.0	70.0	612894.0	1301194.0
mmu-let-7a-5p	22:TA	1264.0	2687.0	612894.0	1301194.0
mmu-let-7a-5p	22:TC	65.0	169.0	612894.0	1301194.0
mmu-let-7a-5p	22:TG	29.0	95.0	612894.0	1301194.0
mmu-let-7a-5p	1:TC,13:TA	1.0	0.0	612894.0	1301194.0
mmu-let-7a-5p	1:TC,22:TA	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	2:GC,22:TA	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	2:GT,4:GT	2.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	2:GT,11:GT	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	2:GT,22:TA	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	3:AG,22:TA	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	3:AT,22:TA	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	4:GA,21:TC	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	4:GC,5:GT	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	4:GT,5:GT	3.0	0.0	612894.0	1301194.0
mmu-let-7a-5p	4:GT,7:AG	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	4:GT,20:GT	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	4:GT,22:TA	1.0	0.0	612894.0	1301194.0
mmu-let-7a-5p	5:GT,6:TA	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	5:GT,22:TA	1.0	0.0	612894.0	1301194.0
mmu-let-7a-5p	6:TA,21:TA	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	8:GT,21:TA	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	8:GT,22:TA	2.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	10:AT,15:GC	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	10:AT,22:TA	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	11:GT,22:TA	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	14:TC,15:GT	1.0	0.0	612894.0	1301194.0
mmu-let-7a-5p	20:GA,21:TA	1.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	20:GA,22:TA	0.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	21:TA,22:TA	18.0	39.0	612894.0	1301194.0
mmu-let-7a-5p	21:TA,22:TC	1.0	1.0	612894.0	1301194.0
mmu-let-7a-5p	21:TA,22:TG	1.0	3.0	612894.0	1301194.0
mmu-let-7b-3p	22:CA	1.0	0.0	25.0	30.0
mmu-let-7b-3p	22:CT	24.0	29.0	25.0	30.0
mmu-let-7b-3p	21:CT,22:CT	0.0	1.0	25.0	30.0
mmu-let-7b-5p	PM	165119.0	382954.0	165775.0	384388.0
mmu-let-7b-5p	1:TA	5.0	20.0	165775.0	384388.0
mmu-let-7b-5p	1:TC	21.0	31.0	165775.0	384388.0
mmu-let-7b-5p	1:TG	0.0	2.0	165775.0	384388.0
mmu-let-7b-5p	2:GA	10.0	39.0	165775.0	384388.0
mmu-let-7b-5p	2:GC	12.0	31.0	165775.0	384388.0
mmu-let-7b-5p	2:GT	51.0	65.0	165775.0	384388.0
mmu-let-7b-5p	3:AC	3.0	2.0	165775.0	384388.0
mmu-let-7b-5p	3:AG	12.0	38.0	165775.0	384388.0
mmu-let-7b-5p	3:AT	14.0	32.0	165775.0	384388.0
mmu-let-7b-5p	4:GA	6.0	39.0	165775.0	384388.0
mmu-let-7b-5p	4:GC	4.0	13.0	165775.0	384388.0
mmu-let-7b-5p	4:GT	34.0	69.0	165775.0	384388.0
mmu-let-7b-5p	5:GA	4.0	12.0	165775.0	384388.0
mmu-let-7b-5p	5:GC	4.0	9.0	165775.0	384388.0
mmu-let-7b-5p	5:GT	18.0	42.0	165775.0	384388.0
mmu-let-7b-5p	6:TA	9.0	28.0	165775.0	384388.0
mmu-let-7b-5p	6:TC	18.0	34.0	165775.0	384388.0
mmu-let-7b-5p	6:TG	2.0	3.0	165775.0	384388.0
mmu-let-7b-5p	7:AC	1.0	3.0	165775.0	384388.0
mmu-let-7b-5p	7:AG	20.0	41.0	165775.0	384388.0
mmu-let-7b-5p	7:AT	10.0	15.0	165775.0	384388.0
mmu-let-7b-5p	8:GA	9.0	14.0	165775.0	384388.0
mmu-let-7b-5p	8:GC	7.0	17.0	165775.0	384388.0
mmu-let-7b-5p	8:GT	46.0	89.0	165775.0	384388.0
mmu-let-7b-5p	10:AC	3.0	5.0	165775.0	384388.0
mmu-let-7b-5p	10:AG	20.0	44.0	165775.0	384388.0
mmu-let-7b-5p	10:AT	10.0	29.0	165775.0	384388.0
mmu-let-7b-5p	11:GA	6.0	19.0	165775.0	384388.0
mmu-let-7b-5p	11:GC	14.0	19.0	165775.0	384388.0
mmu-let-7b-5p	11:GT	40.0	91.0	165775.0	384388.0
mmu-let-7b-5p	12:GA	6.0	21.0	165775.0	384388.0
mmu-let-7b-5p	12:GC	7.0	11.0	165775.0	384388.0
mmu-let-7b-5p	12:GT	12.0	32.0	165775.0	384388.0
mmu-let-7b-5p	13:TA	9.0	32.0	165775.0	384388.0
mmu-let-7b-5p	13:TC	18.0	29.0	165775.0	384388.0
mmu-let-7b-5p	13:TG	1.0	6.0	165775.0	384388.0
mmu-let-7b-5p	14:TA	8.0	34.0	165775.0	384388.0
mmu-let-7b-5p	14:TC	20.0	43.0	165775.0	384388.0
mmu-let-7b-5p	14:TG	1.0	2.0	165775.0	384388.0
mmu-let-7b-5p	15:GA	14.0	44.0	165775.0	384388.0
mmu-let-7b-5p	15:GC	6.0	19.0	165775.0	384388.0
mmu-let-7b-5p	15:GT	10.0	31.0	165775.0	384388.0
mmu-let-7b-5p	16:TA	26.0	33.0	165775.0	384388.0
mmu-let-7b-5p	16:TC	13.0	25.0	165775.0	384388.0
mmu-let-7b-5p	16:TG	4.0	10.0	165775.0	384388.0
mmu-let-7b-5p	18:TA	12.0	25.0	165775.0	384388.0
mmu-let-7b-5p	18:TC	11.0	25.0	165775.0	384388.0
mmu-let-7b-5p	18:TG	4.0	6.0	165775.0	384388.0
mmu-let-7b-5p	19:GC	5.0	19.0	165775.0	384388.0
mmu-let-7b-5p	19:GT	52.0	86.0	165775.0	384388.0
mmu-let-7b-5p	2:GT,7:AT	1.0	0.0	165775.0	384388.0
mmu-let-7b-5p	2:GT,19:GT	1.0	0.0	165775.0	384388.0
mmu-let-7b-5p	4:GT,18:TC	0.0	1.0	165775.0	384388.0
mmu-let-7b-5p	5:GT,14:TC	1.0	0.0	165775.0	384388.0
mmu-let-7b-5p	7:AT,11:GA	0.0	1.0	165775.0	384388.0
mmu-let-7b-5p	8:GT,11:GT	0.0	1.0	165775.0	384388.0
mmu-let-7b-5p	11:GT,12:GA	1.0	0.0	165775.0	384388.0
mmu-let-7b-5p	14:TG,15:GT	0.0	3.0	165775.0	384388.0
mmu-let-7c-1-3p	PM	16.0	72.0	17.0	74.0
mmu-let-7c-1-3p	11:TA	0.0	1.0	17.0	74.0
mmu-let-7c-1-3p	22:CA	1.0	0.0	17.0	74.0
mmu-let-7c-1-3p	22:CT	0.0	1.0	17.0	74.0
mmu-let-7c-5p	PM	504072.0	1155563.0	510817.0	1169846.0
mmu-let-7c-5p	1:TA	30.0	73.0	510817.0	1169846.0
mmu-let-7c-5p	1:TC	72.0	174.0	510817.0	1169846.0
mmu-let-7c-5p	1:TG	5.0	8.0	510817.0	1169846.0
mmu-let-7c-5p	2:GA	47.0	114.0	510817.0	1169846.0
mmu-let-7c-5p	2:GC	29.0	65.0	510817.0	1169846.0
mmu-let-7c-5p	2:GT	133.0	290.0	510817.0	1169846.0
mmu-let-7c-5p	3:AC	5.0	11.0	510817.0	1169846.0
mmu-let-7c-5p	3:AG	31.0	64.0	510817.0	1169846.0
mmu-let-7c-5p	3:AT	38.0	97.0	510817.0	1169846.0
mmu-let-7c-5p	4:GA	29.0	57.0	510817.0	1169846.0
mmu-let-7c-5p	4:GC	21.0	41.0	510817.0	1169846.0
mmu-let-7c-5p	4:GT	117.0	252.0	510817.0	1169846.0
mmu-let-7c-5p	5:GA	23.0	47.0	510817.0	1169846.0
mmu-let-7c-5p	5:GC	11.0	23.0	510817.0	1169846.0
mmu-let-7c-5p	5:GT	59.0	110.0	510817.0	1169846.0
mmu-let-7c-5p	6:TA	30.0	77.0	510817.0	1169846.0
mmu-let-7c-5p	6:TC	42.0	96.0	510817.0	1169846.0
mmu-let-7c-5p	6:TG	2.0	4.0	510817.0	1169846.0
mmu-let-7c-5p	7:AC	4.0	8.0	510817.0	1169846.0
mmu-let-7c-5p	7:AG	53.0	104.0	510817.0	1169846.0
mmu-let-7c-5p	7:AT	35.0	59.0	510817.0	1169846.0
mmu-let-7c-5p	8:GA	20.0	45.0	510817.0	1169846.0
mmu-let-7c-5p	8:GC	18.0	51.0	510817.0	1169846.0
mmu-let-7c-5p	8:GT	88.0	243.0	510817.0	1169846.0
mmu-let-7c-5p	9:TA	26.0	64.0	510817.0	1169846.0
mmu-let-7c-5p	9:TC	38.0	83.0	510817.0	1169846.0
mmu-let-7c-5p	10:AC	2.0	8.0	510817.0	1169846.0
mmu-let-7c-5p	10:AG	50.0	111.0	510817.0	1169846.0
mmu-let-7c-5p	10:AT	29.0	68.0	510817.0	1169846.0
mmu-let-7c-5p	11:GC	32.0	51.0	510817.0	1169846.0
mmu-let-7c-5p	11:GT	137.0	276.0	510817.0	1169846.0
mmu-let-7c-5p	12:GC	12.0	24.0	510817.0	1169846.0
mmu-let-7c-5p	12:GT	42.0	124.0	510817.0	1169846.0
mmu-let-7c-5p	13:TA	33.0	72.0	510817.0	1169846.0
mmu-let-7c-5p	13:TC	49.0	126.0	510817.0	1169846.0
mmu-let-7c-5p	13:TG	4.0	4.0	510817.0	1169846.0
mmu-let-7c-5p	14:TA	27.0	82.0	510817.0	1169846.0
mmu-let-7c-5p	14:TC	48.0	111.0	510817.0	1169846.0
mmu-let-7c-5p	14:TG	7.0	19.0	510817.0	1169846.0
mmu-let-7c-5p	15:GA	50.0	91.0	510817.0	1169846.0
mmu-let-7c-5p	15:GC	49.0	84.0	510817.0	1169846.0
mmu-let-7c-5p	15:GT	69.0	105.0	510817.0	1169846.0
mmu-let-7c-5p	16:TA	62.0	145.0	510817.0	1169846.0
mmu-let-7c-5p	16:TC	50.0	109.0	510817.0	1169846.0
mmu-let-7c-5p	16:TG	5.0	6.0	510817.0	1169846.0
mmu-let-7c-5p	18:TA	49.0	102.0	510817.0	1169846.0
mmu-let-7c-5p	18:TC	30.0	72.0	510817.0	1169846.0
mmu-let-7c-5p	18:TG	4.0	8.0	510817.0	1169846.0
mmu-let-7c-5p	20:GA	22.0	60.0	510817.0	1169846.0
mmu-let-7c-5p	20:GC	18.0	36.0	510817.0	1169846.0
mmu-let-7c-5p	20:GT	66.0	169.0	510817.0	1169846.0
mmu-let-7c-5p	21:TA	60.0	126.0	510817.0	1169846.0
mmu-let-7c-5p	21:TC	39.0	89.0	510817.0	1169846.0
mmu-let-7c-5p	21:TG	72.0	161.0	510817.0	1169846.0
mmu-let-7c-5p	22:TA	4353.0	8967.0	510817.0	1169846.0
mmu-let-7c-5p	22:TC	64.0	159.0	510817.0	1169846.0
mmu-let-7c-5p	22:TG	180.0	407.0	510817.0	1169846.0
mmu-let-7c-5p	1:TA,21:TC	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	1:TC,4:GT	1.0	0.0	510817.0	1169846.0
mmu-let-7c-5p	1:TC,22:TA	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	2:GA,22:TA	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	2:GC,22:TA	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	2:GT,4:GT	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	2:GT,5:GT	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	2:GT,22:TA	2.0	2.0	510817.0	1169846.0
mmu-let-7c-5p	3:AG,4:GA	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	3:AT,22:TA	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	3:AT,22:TG	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	4:GC,22:TA	3.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	4:GT,6:TC	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	4:GT,20:GT	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	4:GT,22:TA	1.0	0.0	510817.0	1169846.0
mmu-let-7c-5p	5:GT,11:GT	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	5:GT,22:TA	1.0	0.0	510817.0	1169846.0
mmu-let-7c-5p	6:TA,22:TA	0.0	2.0	510817.0	1169846.0
mmu-let-7c-5p	6:TC,22:TA	0.0	2.0	510817.0	1169846.0
mmu-let-7c-5p	7:AG,11:GC	1.0	0.0	510817.0	1169846.0
mmu-let-7c-5p	7:AG,22:TA	1.0	2.0	510817.0	1169846.0
mmu-let-7c-5p	7:AT,22:TA	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	8:GA,22:TA	1.0	0.0	510817.0	1169846.0
mmu-let-7c-5p	8:GC,22:TA	2.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	8:GT,11:GT	1.0	0.0	510817.0	1169846.0
mmu-let-7c-5p	8:GT,14:TC	1.0	0.0	510817.0	1169846.0
mmu-let-7c-5p	8:GT,20:GT	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	8:GT,21:TG	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	8:GT,22:TA	0.0	6.0	510817.0	1169846.0
mmu-let-7c-5p	9:TA,14:TC	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	10:AG,22:TA	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	10:AT,21:TC	1.0	0.0	510817.0	1169846.0
mmu-let-7c-5p	10:AT,22:TA	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	11:GT,12:GC	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	11:GT,12:GT	1.0	2.0	510817.0	1169846.0
mmu-let-7c-5p	11:GT,22:TA	4.0	2.0	510817.0	1169846.0
mmu-let-7c-5p	13:TC,22:TA	0.0	2.0	510817.0	1169846.0
mmu-let-7c-5p	14:TC,15:GT	1.0	0.0	510817.0	1169846.0
mmu-let-7c-5p	14:TC,22:TA	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	15:GA,22:TA	0.0	2.0	510817.0	1169846.0
mmu-let-7c-5p	15:GC,22:TA	1.0	2.0	510817.0	1169846.0
mmu-let-7c-5p	15:GT,22:TG	1.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	16:TG,22:TA	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	18:TA,22:TA	0.0	2.0	510817.0	1169846.0
mmu-let-7c-5p	18:TC,22:TA	0.0	1.0	510817.0	1169846.0
mmu-let-7c-5p	18:TG,20:GT	1.0	0.0	510817.0	1169846.0
mmu-let-7d-3p	PM	162.0	281.0	183.0	310.0
mmu-let-7d-3p	12:GC	0.0	1.0	183.0	310.0
mmu-let-7d-3p	21:CA	1.0	1.0	183.0	310.0
mmu-let-7d-3p	21:CT	4.0	3.0	183.0	310.0
mmu-let-7d-3p	22:TA	15.0	21.0	183.0	310.0
mmu-let-7d-3p	22:TC	1.0	1.0	183.0	310.0
mmu-let-7d-3p	22:TG	0.0	2.0	183.0	310.0
mmu-let-7d-5p	PM	108963.0	159041.0	109967.0	160539.0
mmu-let-7d-5p	1:AC	1.0	4.0	109967.0	160539.0
mmu-let-7d-5p	1:AG	8.0	19.0	109967.0	160539.0
mmu-let-7d-5p	2:GA	8.0	5.0	109967.0	160539.0
mmu-let-7d-5p	2:GC	8.0	5.0	109967.0	160539.0
mmu-let-7d-5p	2:GT	38.0	48.0	109967.0	160539.0
mmu-let-7d-5p	3:AC	1.0	1.0	109967.0	160539.0
mmu-let-7d-5p	3:AG	9.0	12.0	109967.0	160539.0
mmu-let-7d-5p	3:AT	7.0	14.0	109967.0	160539.0
mmu-let-7d-5p	4:GA	6.0	8.0	109967.0	160539.0
mmu-let-7d-5p	4:GC	1.0	7.0	109967.0	160539.0
mmu-let-7d-5p	4:GT	19.0	24.0	109967.0	160539.0
mmu-let-7d-5p	5:GA	6.0	5.0	109967.0	160539.0
mmu-let-7d-5p	5:GC	3.0	4.0	109967.0	160539.0
mmu-let-7d-5p	5:GT	19.0	22.0	109967.0	160539.0
mmu-let-7d-5p	6:TA	9.0	10.0	109967.0	160539.0
mmu-let-7d-5p	6:TC	8.0	13.0	109967.0	160539.0
mmu-let-7d-5p	6:TG	1.0	2.0	109967.0	160539.0
mmu-let-7d-5p	7:AC	1.0	1.0	109967.0	160539.0
mmu-let-7d-5p	7:AG	10.0	17.0	109967.0	160539.0
mmu-let-7d-5p	7:AT	12.0	11.0	109967.0	160539.0
mmu-let-7d-5p	8:GA	5.0	5.0	109967.0	160539.0
mmu-let-7d-5p	8:GC	3.0	6.0	109967.0	160539.0
mmu-let-7d-5p	8:GT	17.0	37.0	109967.0	160539.0
mmu-let-7d-5p	9:TA	9.0	11.0	109967.0	160539.0
mmu-let-7d-5p	9:TC	15.0	12.0	109967.0	160539.0
mmu-let-7d-5p	9:TG	8.0	7.0	109967.0	160539.0
mmu-let-7d-5p	10:AC	1.0	1.0	109967.0	160539.0
mmu-let-7d-5p	10:AG	11.0	17.0	109967.0	160539.0
mmu-let-7d-5p	10:AT	8.0	14.0	109967.0	160539.0
mmu-let-7d-5p	11:GA	6.0	11.0	109967.0	160539.0
mmu-let-7d-5p	11:GC	13.0	3.0	109967.0	160539.0
mmu-let-7d-5p	11:GT	29.0	39.0	109967.0	160539.0
mmu-let-7d-5p	12:GA	4.0	8.0	109967.0	160539.0
mmu-let-7d-5p	12:GC	3.0	6.0	109967.0	160539.0
mmu-let-7d-5p	12:GT	20.0	23.0	109967.0	160539.0
mmu-let-7d-5p	13:TA	10.0	10.0	109967.0	160539.0
mmu-let-7d-5p	13:TC	10.0	14.0	109967.0	160539.0
mmu-let-7d-5p	13:TG	1.0	2.0	109967.0	160539.0
mmu-let-7d-5p	14:TA	11.0	13.0	109967.0	160539.0
mmu-let-7d-5p	14:TC	10.0	27.0	109967.0	160539.0
mmu-let-7d-5p	14:TG	2.0	0.0	109967.0	160539.0
mmu-let-7d-5p	15:GA	11.0	18.0	109967.0	160539.0
mmu-let-7d-5p	15:GC	9.0	31.0	109967.0	160539.0
mmu-let-7d-5p	15:GT	18.0	36.0	109967.0	160539.0
mmu-let-7d-5p	16:CA	16.0	25.0	109967.0	160539.0
mmu-let-7d-5p	16:CG	10.0	6.0	109967.0	160539.0
mmu-let-7d-5p	17:AC	1.0	2.0	109967.0	160539.0
mmu-let-7d-5p	17:AG	4.0	16.0	109967.0	160539.0
mmu-let-7d-5p	17:AT	11.0	25.0	109967.0	160539.0
mmu-let-7d-5p	18:TA	9.0	13.0	109967.0	160539.0
mmu-let-7d-5p	18:TC	8.0	16.0	109967.0	160539.0
mmu-let-7d-5p	18:TG	1.0	0.0	109967.0	160539.0
mmu-let-7d-5p	19:AC	3.0	0.0	109967.0	160539.0
mmu-let-7d-5p	19:AG	9.0	15.0	109967.0	160539.0
mmu-let-7d-5p	19:AT	7.0	5.0	109967.0	160539.0
mmu-let-7d-5p	20:GA	0.0	4.0	109967.0	160539.0
mmu-let-7d-5p	20:GC	3.0	3.0	109967.0	160539.0
mmu-let-7d-5p	20:GT	8.0	15.0	109967.0	160539.0
mmu-let-7d-5p	21:TA	6.0	15.0	109967.0	160539.0
mmu-let-7d-5p	21:TC	4.0	10.0	109967.0	160539.0
mmu-let-7d-5p	21:TG	4.0	8.0	109967.0	160539.0
mmu-let-7d-5p	22:TA	440.0	640.0	109967.0	160539.0
mmu-let-7d-5p	22:TC	12.0	21.0	109967.0	160539.0
mmu-let-7d-5p	22:TG	22.0	49.0	109967.0	160539.0
mmu-let-7d-5p	1:AC,4:GT	1.0	0.0	109967.0	160539.0
mmu-let-7d-5p	2:GC,4:GT	0.0	1.0	109967.0	160539.0
mmu-let-7d-5p	2:GT,4:GT	2.0	0.0	109967.0	160539.0
mmu-let-7d-5p	7:AT,22:TA	0.0	1.0	109967.0	160539.0
mmu-let-7d-5p	9:TA,22:TA	0.0	1.0	109967.0	160539.0
mmu-let-7d-5p	9:TC,15:GC	0.0	1.0	109967.0	160539.0
mmu-let-7d-5p	11:GA,16:CG	0.0	1.0	109967.0	160539.0
mmu-let-7d-5p	11:GC,22:TA	1.0	0.0	109967.0	160539.0
mmu-let-7d-5p	11:GT,22:TA	0.0	1.0	109967.0	160539.0
mmu-let-7d-5p	14:TC,22:TA	1.0	0.0	109967.0	160539.0
mmu-let-7d-5p	15:GC,22:TA	0.0	1.0	109967.0	160539.0
mmu-let-7d-5p	17:AC,20:GT	0.0	1.0	109967.0	160539.0
mmu-let-7d-5p	19:AG,22:TA	1.0	0.0	109967.0	160539.0
mmu-let-7d-5p	21:TA,22:TA	9.0	9.0	109967.0	160539.0
mmu-let-7d-5p	21:TA,22:TC	0.0	2.0	109967.0	160539.0
mmu-let-7d-5p	21:TA,22:TG	2.0	8.0	109967.0	160539.0
mmu-let-7e-3p	PM	23.0	37.0	25.0	38.0
mmu-let-7e-3p	8:GC	0.0	1.0	25.0	38.0
mmu-let-7e-3p	22:CT	2.0	0.0	25.0	38.0
mmu-let-7e-5p	PM	119157.0	225226.0	120351.0	227375.0
mmu-let-7e-5p	1:TA	8.0	11.0	120351.0	227375.0
mmu-let-7e-5p	1:TC	7.0	20.0	120351.0	227375.0
mmu-let-7e-5p	1:TG	1.0	5.0	120351.0	227375.0
mmu-let-7e-5p	2:GA	11.0	25.0	120351.0	227375.0
mmu-let-7e-5p	2:GC	8.0	11.0	120351.0	227375.0
mmu-let-7e-5p	2:GT	30.0	50.0	120351.0	227375.0
mmu-let-7e-5p	3:AC	3.0	2.0	120351.0	227375.0
mmu-let-7e-5p	3:AG	11.0	16.0	120351.0	227375.0
mmu-let-7e-5p	3:AT	7.0	24.0	120351.0	227375.0
mmu-let-7e-5p	4:GA	6.0	12.0	120351.0	227375.0
mmu-let-7e-5p	4:GC	3.0	5.0	120351.0	227375.0
mmu-let-7e-5p	4:GT	33.0	58.0	120351.0	227375.0
mmu-let-7e-5p	5:GA	4.0	13.0	120351.0	227375.0
mmu-let-7e-5p	5:GC	1.0	5.0	120351.0	227375.0
mmu-let-7e-5p	5:GT	20.0	33.0	120351.0	227375.0
mmu-let-7e-5p	6:TA	5.0	16.0	120351.0	227375.0
mmu-let-7e-5p	6:TC	5.0	18.0	120351.0	227375.0
mmu-let-7e-5p	6:TG	0.0	2.0	120351.0	227375.0
mmu-let-7e-5p	7:AC	2.0	1.0	120351.0	227375.0
mmu-let-7e-5p	7:AG	6.0	27.0	120351.0	227375.0
mmu-let-7e-5p	7:AT	8.0	17.0	120351.0	227375.0
mmu-let-7e-5p	8:GA	1.0	15.0	120351.0	227375.0
mmu-let-7e-5p	8:GC	15.0	19.0	120351.0	227375.0
mmu-let-7e-5p	8:GT	40.0	55.0	120351.0	227375.0
mmu-let-7e-5p	10:AG	12.0	23.0	120351.0	227375.0
mmu-let-7e-5p	10:AT	8.0	21.0	120351.0	227375.0
mmu-let-7e-5p	11:GA	3.0	19.0	120351.0	227375.0
mmu-let-7e-5p	11:GC	8.0	5.0	120351.0	227375.0
mmu-let-7e-5p	11:GT	24.0	43.0	120351.0	227375.0
