miRNA name	pos:mut	trimmed_NGN2_Nicotinamide_Vitamin_B3_SRR22128557	trimmed_NGN2_nc-DMSO_rep2-6_SRR22127727	trimmed_NGN2_Fluorouracil_5-Fluoracil_5-FU_SRR22128317	trimmed_NGN2_nc-DMSO_rep2-3_SRR22127730	trimmed_NGN2_nc-DMSO_rep2-2_SRR22127731	trimmed_NGN2_nc-DMSO_rep2-5_SRR22127728	trimmed_NGN2_nc-DMSO_rep2-1_SRR22127732	trimmed_NGN2_Vitamin_D2_SRR22128243	trimmed_NGN2_nc-DMSO_rep2-4_SRR22127729	trimmed_NGN2_Nicotinamide_Vitamin_B3_SRR22128557 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-6_SRR22127727 (PM+1MM+2MM)	trimmed_NGN2_Fluorouracil_5-Fluoracil_5-FU_SRR22128317 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-3_SRR22127730 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-2_SRR22127731 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-5_SRR22127728 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-1_SRR22127732 (PM+1MM+2MM)	trimmed_NGN2_Vitamin_D2_SRR22128243 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-4_SRR22127729 (PM+1MM+2MM)
hsa-miR-10522-5p	PM	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10524-5p	PM	3.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
hsa-miR-106a-5p	PM	32.0	1.0	47.0	1.0	0.0	2.0	1.0	0.0	0.0	40.0	1.0	53.0	1.0	0.0	3.0	1.0	0.0	1.0
hsa-miR-106a-5p	23:GA	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	1.0	53.0	1.0	0.0	3.0	1.0	0.0	1.0
hsa-miR-106a-5p	23:GC	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	40.0	1.0	53.0	1.0	0.0	3.0	1.0	0.0	1.0
hsa-miR-106a-5p	23:GT	6.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	40.0	1.0	53.0	1.0	0.0	3.0	1.0	0.0	1.0
hsa-miR-106b-5p	PM	500.0	20.0	791.0	7.0	2.0	18.0	4.0	8.0	9.0	507.0	21.0	801.0	7.0	2.0	19.0	4.0	8.0	10.0
hsa-miR-106b-5p	5:GA	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	507.0	21.0	801.0	7.0	2.0	19.0	4.0	8.0	10.0
hsa-miR-106b-5p	8:CA	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	507.0	21.0	801.0	7.0	2.0	19.0	4.0	8.0	10.0
hsa-miR-106b-5p	9:TC	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	507.0	21.0	801.0	7.0	2.0	19.0	4.0	8.0	10.0
hsa-miR-106b-5p	11:AG	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	507.0	21.0	801.0	7.0	2.0	19.0	4.0	8.0	10.0
hsa-miR-106b-5p	13:AG	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	507.0	21.0	801.0	7.0	2.0	19.0	4.0	8.0	10.0
hsa-miR-106b-5p	13:AT	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	507.0	21.0	801.0	7.0	2.0	19.0	4.0	8.0	10.0
hsa-miR-106b-5p	19:GA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	507.0	21.0	801.0	7.0	2.0	19.0	4.0	8.0	10.0
hsa-miR-106b-5p	21:TA	2.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	507.0	21.0	801.0	7.0	2.0	19.0	4.0	8.0	10.0
hsa-miR-106b-5p	21:TC	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	507.0	21.0	801.0	7.0	2.0	19.0	4.0	8.0	10.0
hsa-miR-106b-5p	10:GT,20:AG	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	507.0	21.0	801.0	7.0	2.0	19.0	4.0	8.0	10.0
hsa-miR-107	PM	24.0	1.0	63.0	1.0	1.0	2.0	0.0	0.0	1.0	36.0	1.0	84.0	2.0	1.0	2.0	0.0	0.0	1.0
hsa-miR-107	23:AG	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	1.0	84.0	2.0	1.0	2.0	0.0	0.0	1.0
hsa-miR-107	23:AT	12.0	0.0	20.0	1.0	0.0	0.0	0.0	0.0	0.0	36.0	1.0	84.0	2.0	1.0	2.0	0.0	0.0	1.0
hsa-miR-10b-3p	PM	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10b-5p	PM	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
hsa-miR-11181-3p	9:GC,13:TA	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-11181-3p	11:GA,17:GA	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-11181-3p	12:GC,13:TC	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1179	PM	8.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1179	21:GA	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1180-3p	PM	9.0	1.0	16.0	0.0	0.0	1.0	0.0	0.0	1.0	11.0	1.0	16.0	0.0	0.0	2.0	0.0	0.0	1.0
hsa-miR-1180-3p	6:GA	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	1.0	16.0	0.0	0.0	2.0	0.0	0.0	1.0
hsa-miR-1180-3p	21:GT	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	1.0	16.0	0.0	0.0	2.0	0.0	0.0	1.0
hsa-miR-1180-3p	22:TC	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	1.0	16.0	0.0	0.0	2.0	0.0	0.0	1.0
hsa-miR-1180-5p	PM	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1185-1-3p	PM	5.0	0.0	9.0	1.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	11.0	1.0	0.0	0.0	1.0	0.0	0.0
hsa-miR-1185-1-3p	7:AG	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	11.0	1.0	0.0	0.0	1.0	0.0	0.0
hsa-miR-1185-1-3p	19:TA	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	11.0	1.0	0.0	0.0	1.0	0.0	0.0
hsa-miR-1185-2-3p	PM	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1185-5p	PM	4.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1197	PM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-12136	PM	191.0	12.0	679.0	4.0	4.0	15.0	5.0	4.0	7.0	193.0	12.0	686.0	4.0	4.0	15.0	5.0	4.0	7.0
hsa-miR-12136	8:TC	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193.0	12.0	686.0	4.0	4.0	15.0	5.0	4.0	7.0
hsa-miR-12136	17:CA	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	193.0	12.0	686.0	4.0	4.0	15.0	5.0	4.0	7.0
hsa-miR-12136	18:CA	1.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	193.0	12.0	686.0	4.0	4.0	15.0	5.0	4.0	7.0
hsa-miR-122-5p	PM	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1224-3p	PM	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
hsa-miR-1224-5p	PM	29.0	2.0	36.0	0.0	0.0	0.0	0.0	1.0	0.0	29.0	2.0	39.0	0.0	0.0	0.0	0.0	1.0	0.0
hsa-miR-1224-5p	16:GA	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	2.0	39.0	0.0	0.0	0.0	0.0	1.0	0.0
hsa-miR-1224-5p	19:GA	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	2.0	39.0	0.0	0.0	0.0	0.0	1.0	0.0
hsa-miR-1224-5p	18:GA,19:GA	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	2.0	39.0	0.0	0.0	0.0	0.0	1.0	0.0
hsa-miR-1225-5p	PM	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1226-3p	PM	34.0	1.0	26.0	0.0	0.0	2.0	0.0	0.0	0.0	34.0	1.0	27.0	0.0	0.0	2.0	0.0	0.0	0.0
hsa-miR-1226-3p	22:GT	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	1.0	27.0	0.0	0.0	2.0	0.0	0.0	0.0
hsa-miR-1227-3p	PM	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1236-5p	PM	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-124-3p	PM	626.0	43.0	1403.0	20.0	7.0	37.0	7.0	16.0	21.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	7:AG	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	8:CT	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	9:GA	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	10:CT	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	12:GA	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	16:AG	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	16:AT	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	19:CG	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	19:CT	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	20:CT	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	22:AC	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	22:AG	10.0	1.0	7.0	0.0	0.0	0.0	0.0	1.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	22:AT	120.0	12.0	452.0	5.0	0.0	8.0	3.0	1.0	4.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	5:GT,22:AT	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	8:CT,22:AT	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	17:TA,22:AT	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	19:CT,22:AT	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-3p	21:AT,22:AT	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	760.0	57.0	1879.0	25.0	7.0	46.0	10.0	19.0	25.0
hsa-miR-124-5p	PM	22.0	1.0	44.0	0.0	0.0	1.0	0.0	1.0	0.0	23.0	2.0	44.0	0.0	0.0	1.0	0.0	1.0	0.0
hsa-miR-124-5p	20:GA	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	2.0	44.0	0.0	0.0	1.0	0.0	1.0	0.0
hsa-miR-124-5p	22:TC	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	2.0	44.0	0.0	0.0	1.0	0.0	1.0	0.0
hsa-miR-1243	PM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1246	PM	754.0	52.0	739.0	11.0	24.0	86.0	31.0	20.0	35.0	756.0	53.0	744.0	11.0	24.0	87.0	31.0	20.0	35.0
hsa-miR-1246	5:GA	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	756.0	53.0	744.0	11.0	24.0	87.0	31.0	20.0	35.0
hsa-miR-1246	6:AG	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	756.0	53.0	744.0	11.0	24.0	87.0	31.0	20.0	35.0
hsa-miR-1246	8:TC	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	756.0	53.0	744.0	11.0	24.0	87.0	31.0	20.0	35.0
hsa-miR-1246	13:GT	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	756.0	53.0	744.0	11.0	24.0	87.0	31.0	20.0	35.0
hsa-miR-1246	14:AG	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	756.0	53.0	744.0	11.0	24.0	87.0	31.0	20.0	35.0
hsa-miR-1246	19:GA	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	756.0	53.0	744.0	11.0	24.0	87.0	31.0	20.0	35.0
hsa-miR-1247-5p	PM	0.0	1.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1249-3p	PM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1250-5p	PM	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
hsa-miR-1251-3p	PM	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1251-5p	PM	7.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1255a	PM	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-125a-3p	PM	3.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-125b-1-3p	PM	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-125b-5p	PM	99.0	2.0	181.0	1.0	0.0	6.0	0.0	0.0	2.0	100.0	2.0	188.0	1.0	0.0	6.0	0.0	0.0	2.0
hsa-miR-125b-5p	15:AG	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	2.0	188.0	1.0	0.0	6.0	0.0	0.0	2.0
hsa-miR-125b-5p	17:TA	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	2.0	188.0	1.0	0.0	6.0	0.0	0.0	2.0
hsa-miR-125b-5p	22:AT	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	2.0	188.0	1.0	0.0	6.0	0.0	0.0	2.0
hsa-miR-126-3p	PM	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-126-5p	PM	1.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1260a	9:TA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	20.0	4.0	11.0	0.0	2.0	7.0	2.0	1.0	5.0
hsa-miR-1260a	9:TG	16.0	2.0	9.0	0.0	0.0	6.0	2.0	1.0	1.0	20.0	4.0	11.0	0.0	2.0	7.0	2.0	1.0	5.0
hsa-miR-1260a	8:CT,13:CA	4.0	2.0	1.0	0.0	2.0	1.0	0.0	0.0	3.0	20.0	4.0	11.0	0.0	2.0	7.0	2.0	1.0	5.0
