Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM6701781	"RSB241-8 [nc-DMSO rep1-7]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107355"	SRX18107355	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701782	"RSB241-23 [nc-DMSO rep1-8]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107356"	SRX18107356	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701783	"RSB241-345 [Ammonium Glycyrrhizinate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107357"	SRX18107357	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701784	"RSB241-112 [Quinapril HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107358"	SRX18107358	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701785	"RSB241-72 [Xylazine HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107359"	SRX18107359	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701786	"RSB241-75 [Letrozole]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107360"	SRX18107360	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701787	"RSB241-327 [Bifonazole]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107697"	SRX18107697	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701788	"RSB241-325 [Cimetidine]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107698"	SRX18107698	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701789	"RSB241-77 [Entecavir Hydrate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107699"	SRX18107699	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701790	"RSB241-213 [PF-4708671]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107700"	SRX18107700	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701791	"RSB241-333 [Roxatidine Acetate HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107701"	SRX18107701	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701792	"RSB241-102 [Tolterodine tartrate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107702"	SRX18107702	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701793	"RSB241-120 [Lumiracoxib]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107703"	SRX18107703	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701794	"RSB241-352 [Vitamin C]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107704"	SRX18107704	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701795	"RSB241-270 [BRL-54443]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106969"	SRX18106969	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701796	"RSB241-48 [Forskolin]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106970"	SRX18106970	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701797	"RSB241-309 [Neohesperidin]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106971"	SRX18106971	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701798	"RSB241-193 [AM1241]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106972"	SRX18106972	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701799	"RSB241-328 [U-104]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106973"	SRX18106973	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701800	"RSB241-187 [Imidapril HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106974"	SRX18106974	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701801	"RSB241-265 [Guaifenesin]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106975"	SRX18106975	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701802	"RSB241-45 [Docetaxel]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106976"	SRX18106976	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701803	"RSB241-174 [MK-2461]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107867"	SRX18107867	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701804	"RSB241-50 [GW5074]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107868"	SRX18107868	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701805	"RSB241-92 [ZM 323881 HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107869"	SRX18107869	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701806	"RSB241-106 [5-Aminolevulinic acid HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107870"	SRX18107870	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701807	"RSB241-286 [Ambroxol HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107871"	SRX18107871	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701808	"RSB241-201 [Methimazole]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107872"	SRX18107872	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701809	"RSB241-172 [Dovitinib (TKI-258) Dilactic Acid]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107873"	SRX18107873	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701810	"RSB241-240 [Epiandrosterone]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107874"	SRX18107874	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701811	"RSB241-38 [Geniposide]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107361"	SRX18107361	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701812	"RSB241-303 [Fenoprofen Calcium]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107362"	SRX18107362	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701813	"RSB241-107 [Dexamethasone (DHAP)]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107363"	SRX18107363	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701814	"RSB241-249 [(-)-Epigallocatechin Gallate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107364"	SRX18107364	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701815	"RSB241-197 [Olmesartan Medoxomil]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107365"	SRX18107365	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701816	"RSB241-257 [Hydrocortisone]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107366"	SRX18107366	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701817	"RSB241-267 [Nisoldipine]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107367"	SRX18107367	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701818	"RSB241-37 [Dovitinib (TKI-258, CHIR-258)]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107368"	SRX18107368	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701819	"RSB241-128 [Pirfenidone]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107705"	SRX18107705	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701820	"RSB241-138 [TAK-875]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107706"	SRX18107706	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701821	"RSB241-123 [Dyclonine HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107707"	SRX18107707	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701822	"RSB241-222 [Pravastatin sodium]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107708"	SRX18107708	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701823	"RSB241-132 [Pioglitazone]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107709"	SRX18107709	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701824	"RSB241-231 [Phenylbutazone]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107710"	SRX18107710	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701825	"RSB241-49 [Deflazacort]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107711"	SRX18107711	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701826	"RSB241-60 [4-Aminohippuric Acid]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107712"	SRX18107712	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701827	"RSB241-166 [XL335]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106977"	SRX18106977	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701828	"RSB241-337 [Tangeretin]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106978"	SRX18106978	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701829	"RSB241-233 [Enalaprilat Dihydrate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106979"	SRX18106979	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701830	"RSB241-248 [Cinepazide maleate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106980"	SRX18106980	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701831	"RSB241-140 [ICG-001]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106981"	SRX18106981	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701832	"RSB241-241 [Irinotecan HCl Trihydrate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106982"	SRX18106982	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701833	"RSB241-68 [Bupivacaine HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106983"	SRX18106983	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701834	"RSB241-273 [DL-Carnitine HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106984"	SRX18106984	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701835	"RSB241-338 [Ulipristal]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107875"	SRX18107875	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701836	"RSB241-100 [Acetanilide]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107876"	SRX18107876	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701837	"RSB241-104 [Sulbactam sodium]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107877"	SRX18107877	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701838	"RSB241-168 [RS-127445]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107878"	SRX18107878	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701839	"RSB241-238 [Clindamycin]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107879"	SRX18107879	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701840	"RSB241-108 [Tetracaine HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107880"	SRX18107880	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701841	"RSB241-177 [Almotriptan Malate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107881"	SRX18107881	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701842	"RSB241-262 [Semaxanib (SU5416)]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107882"	SRX18107882	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701843	"RSB241-55 [Potassium Iodide]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107369"	SRX18107369	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701844	"RSB241-224 [Bepotastine Besilate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107370"	SRX18107370	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701845	"RSB241-203 [Cefoperazone]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107371"	SRX18107371	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701846	"RSB241-272 [BML-190]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107372"	SRX18107372	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701847	"RSB241-288 [Naloxone HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107373"	SRX18107373	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701848	"RSB241-239 [Ipratropium Bromide]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107374"	SRX18107374	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701849	"RSB241-149 [Moexipril HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107375"	SRX18107375	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701850	"RSB241-254 [Solifenacin succinate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107376"	SRX18107376	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701851	"RSB241-216 [Vildagliptin (LAF-237)]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107713"	SRX18107713	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701852	"RSB241-225 [Ibuprofen]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107714"	SRX18107714	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701853	"RSB241-91 [Cyclocytidine HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107715"	SRX18107715	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701854	"RSB241-243 [VX-765]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107716"	SRX18107716	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701855	"RSB241-247 [Fesoterodine Fumarate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107717"	SRX18107717	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701856	"RSB241-130 [Brompheniramine hydrogen maleate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107718"	SRX18107718	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701857	"RSB241-82 [PJ34]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107719"	SRX18107719	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701858	"RSB241-76 [Epinephrine Bitartrate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107720"	SRX18107720	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701859	"RSB241-139 [Rigosertib (ON-01910)]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106985"	SRX18106985	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701860	"RSB241-124 [JNJ-7777120]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106986"	SRX18106986	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701861	"RSB241-162 [BMY 7378]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106987"	SRX18106987	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701862	"RSB241-253 [Chlorogenic Acid]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106988"	SRX18106988	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701863	"RSB241-322 [ML130 (Nodinitib-1)]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106989"	SRX18106989	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701864	"RSB241-232 [TPCA-1]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106990"	SRX18106990	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701865	"RSB241-256 [Bosentan Hydrate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106991"	SRX18106991	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701866	"RSB241-186 [Evacetrapib (LY2484595)]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106992"	SRX18106992	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701867	"RSB241-169 [Alfacalcidol]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107883"	SRX18107883	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701868	"RSB241-84 [PF-562271]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107884"	SRX18107884	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701869	"RSB241-307 [Naringin]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107885"	SRX18107885	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701870	"RSB241-323 [Atracurium Besylate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107886"	SRX18107886	"Zhiyun Wei"	"Oct 19, 2023"
