study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_taxid,organism_name,library_name,library_strategy,library_source,library_selection,library_layout,sample_accession,sample_title,biosample,bioproject,instrument,instrument_model,instrument_model_desc,total_spots,total_size,run_accession,run_total_spots,run_total_bases
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107032,GSM6702026: RSB241-206 [Torin 2]; Homo sapiens; miRNA-Seq,GSM6702026: RSB241-206 [Torin 2]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702026,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609913,,SAMN31554884,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,2374118,74357336,SRR22127281,2374118,178058850
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107031,GSM6702025: RSB241-157 [Trimebutine]; Homo sapiens; miRNA-Seq,GSM6702025: RSB241-157 [Trimebutine]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702025,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609912,,SAMN31554885,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,2609341,79722675,SRR22127282,2609341,195700575
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107030,GSM6702024: RSB241-344 [Moguisteine]; Homo sapiens; miRNA-Seq,GSM6702024: RSB241-344 [Moguisteine]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702024,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609911,,SAMN31554886,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1735962,54308218,SRR22127283,1735962,130197150
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107029,GSM6702023: RSB241-301 [Nifedipine]; Homo sapiens; miRNA-Seq,GSM6702023: RSB241-301 [Nifedipine]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702023,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609910,,SAMN31554887,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1791595,55341401,SRR22127284,1791595,134369625
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107028,GSM6702022: RSB241-59 [Tropicamide]; Homo sapiens; miRNA-Seq,GSM6702022: RSB241-59 [Tropicamide]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702022,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609909,,SAMN31554888,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1869149,58305226,SRR22127285,1869149,140186175
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107027,GSM6702021: RSB241-159 [Detomidine HCl]; Homo sapiens; miRNA-Seq,GSM6702021: RSB241-159 [Detomidine HCl]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702021,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609908,,SAMN31554889,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,2684018,83214107,SRR22127286,2684018,201301350
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107026,GSM6702020: RSB241-318 [Atovaquone]; Homo sapiens; miRNA-Seq,GSM6702020: RSB241-318 [Atovaquone]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702020,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609907,,SAMN31554890,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1823427,56207015,SRR22127287,1823427,136757025
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107025,GSM6702019: RSB241-294 [MK-801 (Dizocilpine)]; Homo sapiens; miRNA-Seq,GSM6702019: RSB241-294 [MK-801 (Dizocilpine)]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702019,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609906,,SAMN31554891,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,572418,17770591,SRR22127288,572418,42931350
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107024,GSM6701994: RSB241-242 [Fosaprepitant dimeglumine salt]; Homo sapiens; miRNA-Seq,GSM6701994: RSB241-242 [Fosaprepitant dimeglumine salt]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701994,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609905,,SAMN31554916,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1454357,44860224,SRR22127289,1454357,109076775
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107023,GSM6701993: RSB241-69 [PFI-1 (PF-6405761)]; Homo sapiens; miRNA-Seq,GSM6701993: RSB241-69 [PFI-1 (PF-6405761)]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701993,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609904,,SAMN31554917,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1374960,43138247,SRR22127290,1374960,103122000
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107022,GSM6701992: RSB241-93 [Adenine HCl]; Homo sapiens; miRNA-Seq,GSM6701992: RSB241-93 [Adenine HCl]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701992,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609903,,SAMN31554918,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1897719,59792525,SRR22127291,1897719,142328925
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107021,GSM6701991: RSB241-146 [Tempol]; Homo sapiens; miRNA-Seq,GSM6701991: RSB241-146 [Tempol]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701991,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609902,,SAMN31554919,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1974265,61975990,SRR22127292,1974265,148069875
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107020,GSM6701990: RSB241-52 [Camostat Mesilate]; Homo sapiens; miRNA-Seq,GSM6701990: RSB241-52 [Camostat Mesilate]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701990,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609901,,SAMN31554920,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1706216,53212604,SRR22127293,1706216,127966200
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107019,GSM6701989: RSB241-228 [RG108]; Homo sapiens; miRNA-Seq,GSM6701989: RSB241-228 [RG108]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701989,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609900,,SAMN31554921,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1676812,52491811,SRR22127294,1676812,125760900
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107018,GSM6701988: RSB241-230 [OC000459]; Homo sapiens; miRNA-Seq,GSM6701988: RSB241-230 [OC000459]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701988,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609899,,SAMN31554922,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1989348,63201626,SRR22127295,1989348,149201100
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107017,"GSM6701987: RSB241-268 [Baricitinib (LY3009104, INCB028050)]; Homo sapiens; miRNA-Seq","GSM6701987: RSB241-268 [Baricitinib (LY3009104, INCB028050)]; Homo sapiens; miRNA-Seq",9606,Homo sapiens,GSM6701987,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609898,,SAMN31554923,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1565420,48880806,SRR22127296,1565420,117406500
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107016,GSM6701962: RSB241-47 [TAK-700 (Orteronel)]; Homo sapiens; miRNA-Seq,GSM6701962: RSB241-47 [TAK-700 (Orteronel)]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701962,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609897,,SAMN31554948,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,2261642,72039831,SRR22127297,2261642,169623150
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107015,GSM6701961: RSB241-144 [Flavopiridol HCl]; Homo sapiens; miRNA-Seq,GSM6701961: RSB241-144 [Flavopiridol HCl]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701961,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609896,,SAMN31554949,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1614228,50119093,SRR22127298,1614228,121067100
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107014,GSM6701960: RSB241-97 [BX-795]; Homo sapiens; miRNA-Seq,GSM6701960: RSB241-97 [BX-795]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701960,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609895,,SAMN31554950,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1283890,39146400,SRR22127299,1283890,96291750
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107013,GSM6701959: RSB241-126 [Ki16198]; Homo sapiens; miRNA-Seq,GSM6701959: RSB241-126 [Ki16198]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701959,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609894,,SAMN31554951,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1821837,56455261,SRR22127300,1821837,136637775
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107012,GSM6701958: RSB241-311 [Nobiletin]; Homo sapiens; miRNA-Seq,GSM6701958: RSB241-311 [Nobiletin]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701958,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609893,,SAMN31554952,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1113901,34300619,SRR22127301,1113901,83542575
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107011,GSM6701957: RSB241-211 [Almorexant HCl]; Homo sapiens; miRNA-Seq,GSM6701957: RSB241-211 [Almorexant HCl]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701957,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609892,,SAMN31554953,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1007877,31824824,SRR22127302,1007877,75590775
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107010,GSM6701956: RSB241-194 [Sirtinol]; Homo sapiens; miRNA-Seq,GSM6701956: RSB241-194 [Sirtinol]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701956,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609891,,SAMN31554954,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1475693,45639305,SRR22127303,1475693,110676975
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107009,GSM6701955: RSB241-142 [PF-00562271]; Homo sapiens; miRNA-Seq,GSM6701955: RSB241-142 [PF-00562271]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701955,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609890,,SAMN31554955,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1749542,53764993,SRR22127304,1749542,131215650
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107008,GSM6701930: RSB241-329 [Metoprolol Tartrate]; Homo sapiens; miRNA-Seq,GSM6701930: RSB241-329 [Metoprolol Tartrate]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701930,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609889,,SAMN31554980,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1032006,32469687,SRR22127305,1032006,77400450
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107007,GSM6701929: RSB241-339 [Troxerutin]; Homo sapiens; miRNA-Seq,GSM6701929: RSB241-339 [Troxerutin]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701929,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609888,,SAMN31554981,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1802000,56405614,SRR22127306,1802000,135150000
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107006,GSM6701928: RSB241-85 [Tolfenamic Acid]; Homo sapiens; miRNA-Seq,GSM6701928: RSB241-85 [Tolfenamic Acid]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701928,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609887,,SAMN31554982,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1142400,35922105,SRR22127307,1142400,85680000
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107005,GSM6701927: RSB241-42 [Guanosine]; Homo sapiens; miRNA-Seq,GSM6701927: RSB241-42 [Guanosine]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701927,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609886,,SAMN31554983,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,499878,15592634,SRR22127308,499878,37490850
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107004,GSM6701926: RSB241-209 [CGS 21680 HCl]; Homo sapiens; miRNA-Seq,GSM6701926: RSB241-209 [CGS 21680 HCl]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701926,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609885,,SAMN31554984,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1471319,45480140,SRR22127309,1471319,110348925
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107003,GSM6701925: RSB241-351 [Naringin Dihydrochalcone]; Homo sapiens; miRNA-Seq,GSM6701925: RSB241-351 [Naringin Dihydrochalcone]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701925,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609884,,SAMN31554985,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1782484,55285290,SRR22127310,1782484,133686300
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107002,GSM6701924: RSB241-326 [VUF 10166]; Homo sapiens; miRNA-Seq,GSM6701924: RSB241-326 [VUF 10166]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701924,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609883,,SAMN31554986,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1060242,33620274,SRR22127311,1060242,79518150
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107001,GSM6701923: RSB241-164 [Resminostat]; Homo sapiens; miRNA-Seq,GSM6701923: RSB241-164 [Resminostat]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701923,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609882,,SAMN31554987,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1426472,44124182,SRR22127312,1426472,106985400
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107000,GSM6701898: RSB241-313 [Orotic acid (6-Carboxyuracil)]; Homo sapiens; miRNA-Seq,GSM6701898: RSB241-313 [Orotic acid (6-Carboxyuracil)]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701898,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609880,,SAMN31555012,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,828763,25679237,SRR22127313,828763,62157225
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18106999,GSM6701897: RSB241-96 [GNF-2]; Homo sapiens; miRNA-Seq,GSM6701897: RSB241-96 [GNF-2]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701897,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609881,,SAMN31555013,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1397540,43900219,SRR22127314,1397540,104815500
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18106998,GSM6701896: RSB241-296 [StemRegenin 1 (SR1)]; Homo sapiens; miRNA-Seq,GSM6701896: RSB241-296 [StemRegenin 1 (SR1)]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6701896,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609879,,SAMN31555014,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,796096,24652552,SRR22127315,796096,59707200
