miRNA name	pos:mut	trimmed_SOD1_ALS-iPSC_derived-miRNA-MN_1	trimmed_SOD1_ALS-iPSC_derived-miRNA-MN_2	trimmed_control-iPSC_derived-miRNA-MN_1	trimmed_TDP43_ALS-iPSC_derived-miRNA-MN_1	trimmed_TDP43_ALS-iPSC_derived-miRNA-MN_2	trimmed_control-iPSC_derived-miRNA-MN_2	trimmed_control-iPSC_derived-miRNA-MN_3	trimmed_TDP43_ALS-iPSC_derived-miRNA-MN_3	trimmed_SOD1_ALS-iPSC_derived-miRNA-MN_1 (PM+1MM+2MM)	trimmed_SOD1_ALS-iPSC_derived-miRNA-MN_2 (PM+1MM+2MM)	trimmed_control-iPSC_derived-miRNA-MN_1 (PM+1MM+2MM)	trimmed_TDP43_ALS-iPSC_derived-miRNA-MN_1 (PM+1MM+2MM)	trimmed_TDP43_ALS-iPSC_derived-miRNA-MN_2 (PM+1MM+2MM)	trimmed_control-iPSC_derived-miRNA-MN_2 (PM+1MM+2MM)	trimmed_control-iPSC_derived-miRNA-MN_3 (PM+1MM+2MM)	trimmed_TDP43_ALS-iPSC_derived-miRNA-MN_3 (PM+1MM+2MM)
hsa-let-7a-5p	15:GT	15.0	5.0	13.0	2.0	5.0	14.0	2.0	1.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	16:TA	8.0	1.0	0.0	0.0	2.0	1.0	2.0	3.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	16:TG	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	17:AC	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	17:AT	10.0	1.0	9.0	0.0	3.0	12.0	4.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	18:TA	8.0	4.0	2.0	4.0	3.0	10.0	1.0	3.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	18:TG	5.0	0.0	5.0	3.0	3.0	5.0	1.0	1.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	20:GA	0.0	0.0	6.0	1.0	2.0	1.0	2.0	1.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	20:GC	1.0	2.0	1.0	0.0	2.0	1.0	2.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	20:GT	8.0	3.0	8.0	5.0	10.0	10.0	9.0	1.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	21:TA	6.0	3.0	6.0	2.0	0.0	8.0	3.0	1.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	21:TC	13.0	5.0	7.0	4.0	2.0	6.0	0.0	3.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	21:TG	2.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	22:TA	669.0	152.0	339.0	169.0	139.0	401.0	130.0	26.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	22:TC	15.0	6.0	4.0	7.0	5.0	9.0	1.0	3.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	22:TG	36.0	13.0	34.0	18.0	11.0	28.0	9.0	12.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	11:GC,17:AT	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	11:GT,22:TA	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	13:TA,14:TG	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	13:TC,22:TC	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	13:TG,15:GT	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	14:TA,22:TC	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	15:GA,21:TC	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	20:GA,21:TA	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	21:TA,22:TA	8.0	1.0	1.0	0.0	1.0	8.0	1.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	21:TA,22:TC	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	21:TA,22:TG	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7b-3p	22:CA	3.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	74.0	21.0	36.0	6.0	17.0	23.0	1.0	1.0
hsa-let-7b-3p	22:CG	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	21.0	36.0	6.0	17.0	23.0	1.0	1.0
hsa-let-7b-3p	22:CT	70.0	21.0	35.0	6.0	17.0	22.0	1.0	1.0	74.0	21.0	36.0	6.0	17.0	23.0	1.0	1.0
hsa-let-7b-5p	PM	6015.0	3156.0	4942.0	540.0	1089.0	2949.0	154.0	368.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7b-5p	9:TC	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7b-5p	10:AG	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7b-5p	11:GA	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7b-5p	13:TC	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7b-5p	13:TG	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7b-5p	14:TC	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7b-5p	15:GA	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7b-5p	15:GT	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7b-5p	16:TA	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7b-5p	20:GT	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7b-5p	21:TA	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7b-5p	21:TG	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7b-5p	22:TA	40.0	35.0	47.0	1.0	2.0	20.0	0.0	3.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7b-5p	22:TC	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7b-5p	22:TG	2.0	4.0	2.0	0.0	0.0	2.0	0.0	0.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7b-5p	21:TA,22:TA	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	6070.0	3198.0	4995.0	542.0	1092.0	2975.0	154.0	371.0
hsa-let-7c-3p	PM	254.0	46.0	149.0	115.0	102.0	107.0	136.0	104.0	255.0	46.0	150.0	115.0	102.0	107.0	136.0	104.0
hsa-let-7c-3p	22:CT	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	255.0	46.0	150.0	115.0	102.0	107.0	136.0	104.0
hsa-let-7c-3p	20:TC,22:CT	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	255.0	46.0	150.0	115.0	102.0	107.0	136.0	104.0
hsa-let-7c-5p	PM	318906.0	115359.0	187101.0	106836.0	108530.0	224658.0	160784.0	78391.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	9:TA	0.0	2.0	3.0	1.0	2.0	3.0	2.0	1.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	9:TC	10.0	2.0	8.0	3.0	3.0	6.0	12.0	2.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	10:AC	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	10:AG	12.0	6.0	3.0	1.0	3.0	9.0	7.0	4.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	10:AT	4.0	4.0	3.0	3.0	1.0	6.0	4.0	3.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	11:GC	2.0	2.0	4.0	3.0	1.0	2.0	3.0	1.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	11:GT	2.0	3.0	5.0	0.0	5.0	7.0	2.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	12:GC	4.0	0.0	6.0	1.0	0.0	4.0	2.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	12:GT	11.0	2.0	5.0	2.0	2.0	8.0	10.0	3.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	13:TC	16.0	6.0	7.0	3.0	1.0	4.0	10.0	4.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	13:TG	2.0	3.0	2.0	1.0	1.0	1.0	0.0	2.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	14:TA	9.0	3.0	4.0	3.0	4.0	9.0	3.0	1.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	14:TC	23.0	3.0	12.0	9.0	10.0	19.0	12.0	4.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	14:TG	10.0	1.0	3.0	0.0	0.0	2.0	3.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	15:GA	19.0	2.0	8.0	6.0	10.0	10.0	3.0	2.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	15:GC	11.0	6.0	9.0	4.0	4.0	9.0	7.0	4.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	15:GT	20.0	10.0	14.0	6.0	3.0	11.0	7.0	4.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	16:TA	2.0	0.0	1.0	2.0	3.0	4.0	2.0	2.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	16:TC	12.0	5.0	11.0	5.0	9.0	16.0	7.0	6.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	16:TG	0.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	18:TA	9.0	3.0	5.0	2.0	6.0	7.0	10.0	6.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	18:TC	10.0	5.0	2.0	8.0	1.0	11.0	9.0	4.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	18:TG	3.0	1.0	4.0	2.0	1.0	4.0	2.0	2.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	20:GA	15.0	4.0	5.0	4.0	2.0	9.0	7.0	4.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	20:GC	5.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	20:GT	16.0	8.0	8.0	8.0	5.0	22.0	19.0	7.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	21:TA	8.0	6.0	8.0	5.0	4.0	10.0	7.0	1.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	21:TC	20.0	2.0	9.0	2.0	3.0	11.0	4.0	5.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	21:TG	74.0	22.0	35.0	11.0	16.0	35.0	27.0	19.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	22:TA	1289.0	539.0	784.0	382.0	398.0	1055.0	408.0	124.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	22:TC	25.0	14.0	14.0	14.0	11.0	12.0	11.0	6.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	22:TG	90.0	38.0	51.0	38.0	33.0	74.0	40.0	22.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	9:TA,10:AT	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	9:TA,16:TA	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	10:AT,22:TC	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	11:GC,22:TA	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	12:GC,21:TC	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	13:TC,22:TA	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	13:TG,14:TG	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	14:TC,18:TC	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	14:TC,22:TA	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	14:TC,22:TC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	14:TG,15:GC	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	14:TG,21:TG	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	15:GA,22:TA	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	16:TC,20:GA	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	16:TC,20:GT	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	18:TA,22:TA	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	20:GA,22:TA	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	20:GC,22:TA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	20:GT,22:TA	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	21:TA,22:TA	16.0	9.0	12.0	0.0	5.0	19.0	9.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	21:TA,22:TC	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	21:TA,22:TG	1.0	3.0	3.0	0.0	0.0	1.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	21:TC,22:TA	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	21:TG,22:TA	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	21:TG,22:TC	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7c-5p	21:TG,22:TG	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	320661.0	116077.0	188157.0	107371.0	109083.0	226068.0	161439.0	78637.0
hsa-let-7d-3p	PM	891.0	463.0	661.0	269.0	518.0	876.0	344.0	269.0	911.0	478.0	685.0	286.0	533.0	913.0	355.0	278.0
hsa-let-7d-3p	10:CT	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	911.0	478.0	685.0	286.0	533.0	913.0	355.0	278.0
hsa-let-7d-3p	12:GT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	911.0	478.0	685.0	286.0	533.0	913.0	355.0	278.0
hsa-let-7d-3p	16:CA	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	911.0	478.0	685.0	286.0	533.0	913.0	355.0	278.0
hsa-let-7d-3p	18:TC	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	911.0	478.0	685.0	286.0	533.0	913.0	355.0	278.0
hsa-let-7d-3p	21:CT	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	911.0	478.0	685.0	286.0	533.0	913.0	355.0	278.0
hsa-let-7d-3p	22:TA	12.0	6.0	5.0	3.0	6.0	19.0	5.0	4.0	911.0	478.0	685.0	286.0	533.0	913.0	355.0	278.0
hsa-let-7d-3p	22:TC	6.0	8.0	16.0	11.0	9.0	15.0	6.0	4.0	911.0	478.0	685.0	286.0	533.0	913.0	355.0	278.0
hsa-let-7d-3p	22:TG	1.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	911.0	478.0	685.0	286.0	533.0	913.0	355.0	278.0
hsa-let-7d-3p	13:CA,22:TA	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	911.0	478.0	685.0	286.0	533.0	913.0	355.0	278.0
hsa-let-7d-5p	PM	6485.0	2285.0	6362.0	1602.0	2088.0	7111.0	2424.0	2437.0	6513.0	2303.0	6392.0	1614.0	2097.0	7156.0	2431.0	2443.0
hsa-let-7d-5p	9:TA	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6513.0	2303.0	6392.0	1614.0	2097.0	7156.0	2431.0	2443.0
hsa-let-7d-5p	9:TC	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	6513.0	2303.0	6392.0	1614.0	2097.0	7156.0	2431.0	2443.0
hsa-let-7d-5p	10:AG	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	6513.0	2303.0	6392.0	1614.0	2097.0	7156.0	2431.0	2443.0
hsa-let-7d-5p	10:AT	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6513.0	2303.0	6392.0	1614.0	2097.0	7156.0	2431.0	2443.0
hsa-let-7d-5p	11:GA	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6513.0	2303.0	6392.0	1614.0	2097.0	7156.0	2431.0	2443.0
